category;position;users;total_usage;relative_usage;mean_daily_usage;rank_users;rank_total_usage;rank_relative_usage;rank_mean_daily;total_score
social;1;24;66919.32532;2788.305222;33.12837887;8;12;12;11;43
entertainment;2;24;12125.25192;505.2188299;21.30975732;8;10;9;10;37
tools;2;24;12901.14825;537.5478438;11.15051707;8;11;10;8;37
games;3;16;9964.222267;622.7638917;41.69130656;3;9;11;12;35
system;4;24;8250.359183;343.764966;5.049179427;8;8;8;4;28
creativity;5;23;3342.96725;145.3464022;6.067091198;5;7;7;6;25
health;6;24;1870.187567;77.92448194;5.719228033;8;6;4;5;23
shopping;7;18;1848.800533;102.7111407;8.931403543;4;5;5;7;21
education;8;4;440.2351;110.058775;18.34312917;1;2;6;9;18
productivity;9;23;1332.211467;57.92223768;3.347264992;5;4;3;2;14
everyday;10;23;1164.74665;50.6411587;3.561916361;5;3;2;3;13
news;11;9;9.6624;1.0736;0.311690323;2;1;1;1;5
